Frequency Samples,Real,Imag
-6535.8,-0.467474,0.00199342
-6535.7,2.00276,-0.00859284
-6535.6,-1.15633e-05,2.16067e-07
-6535.5,1.99715,-0.00866461
-6535.4,-0.476908,0.00208354
-6535.3,1.98791,-0.00871968
-6535.2,-4.48166,0.0197654
-6535.1,-7.99991,0.0354732
-6535,8.51737,-0.0379725
-6534.9,2.01232,-0.00901985
-6534.8,4.48025,-0.0201883
-6534.7,2.00291,-0.00907278
-6534.6,3.99994,-0.0183105
-6534.5,1.99699,-0.00914216
-6534.4,4.46374,-0.0205421
-6534.3,1.98725,-0.00919306
-6534.2,8.42502,-0.0391767
-6534.1,-7.9999,0.0373905
-6534,-4.46187,0.020961
-6533.9,2.01298,-0.00950444
-6533.8,-0.466949,0.00221777
-6533.7,2.00306,-0.00955391
-6533.6,-1.44243e-05,9.68575e-08
-6533.5,1.99683,-0.00962019
-6533.4,-0.477437,0.0023067
-6533.3,1.98659,-0.00966597
-6533.2,-4.48269,0.0219183
-6533.1,-7.99988,0.0393079
-6533,8.52224,-0.0420845
-6532.9,2.01364,-0.00999081
-6532.8,4.48111,-0.0223405
-6532.7,2.00322,-0.010035
-6532.6,3.99993,-0.0201416
-6532.5,1.99667,-0.010098
-6532.4,4.46286,-0.0226779
-6532.3,1.98592,-0.0101393
-6532.2,8.42017,-0.0431914
-6532.1,-7.99987,0.0412255
-6532,-4.46082,0.0230947
-6531.9,2.01429,-0.0104767
-6531.8,-0.466427,0.00243998
-6531.7,2.00337,-0.0105157
-6531.6,-1.81198e-05,3.27826e-07
-6531.5,1.99651,-0.0105758
-6531.4,-0.477962,0.00254416
-6531.3,1.98526,-0.0106115
-6531.2,-4.48371,0.0240729
-6531.1,-7.99986,0.0431431
-6531,8.52711,-0.0461874
-6530.9,2.01495,-0.0109631
-6530.8,4.48196,-0.0244937
-6530.7,2.00352,-0.0109968
-6530.6,3.99992,-0.0219727
-6530.5,1.99635,-0.0110531
-6530.4,4.46198,-0.024812
-6530.3,1.9846,-0.011084
-6530.2,8.41532,-0.0471997
-6530.1,-7.99985,0.0450606
-6530,-4.45976,0.0252274
-6529.9,2.01561,-0.0114499
-6529.8,-0.465904,0.00265646
-6529.7,2.00367,-0.0114775
-6529.6,-2.09808e-05,2.68221e-07
-6529.5,1.99619,-0.0115306
-6529.4,-0.47849,0.00277615
-6529.3,1.98394,-0.0115553
-6529.2,-4.48474,0.0262285
-6529.1,-7.99983,0.0469776
-6529,8.53196,-0.0502996
-6528.9,2.01627,-0.0119367
-6528.8,4.48282,-0.0266473
-6528.7,2.00382,-0.0119591
-6528.6,3.9999,-0.0239258
-6528.5,1.99603,-0.0120084
-6528.4,4.4611,-0.0269458
-6528.3,1.98328,-0.0120269
-6528.2,8.41047,-0.0512018
-6528.1,-7.99982,0.0488951
-6528,-4.4587,0.0273588
-6527.9,2.01692,-0.0124242
-6527.8,-0.465379,0.00287676
-6527.7,2.00397,-0.0124404
-6527.6,-2.46763e-05,4.47035e-08
-6527.5,1.99587,-0.012486
-6527.4,-0.479015,0.00301051
-6527.3,1.98261,-0.0124978
-6527.2,-4.48576,0.0283848
-6527.1,-7.99981,0.0508125
-6527,8.53685,-0.0544417
-6526.9,2.01758,-0.0129117
-6526.8,4.48367,-0.0288017
-6526.7,2.00413,-0.0129218
-6526.6,3.99989,-0.0258789
-6526.5,1.99571,-0.0129631
-6526.4,4.46021,-0.029078
-6526.3,1.98195,-0.0129687
-6526.2,8.40561,-0.055202
-6526.1,-7.99979,0.05273
-6526,-4.45765,0.029489
-6525.9,2.01824,-0.0133998
-6525.8,-0.464857,0.00309801
-6525.7,2.00428,-0.0134029
-6525.6,-2.87294e-05,3.27826e-07
-6525.5,1.99555,-0.0134406
-6525.4,-0.479541,0.00323915
-6525.3,1.98129,-0.0134394
-6525.2,-4.48678,0.0305421
-6525.1,-7.99978,0.0546473
-6525,8.54171,-0.0585525
-6524.9,2.0189,-0.0138881
-6524.8,4.48453,-0.030957
-6524.7,2.00443,-0.0138848
-6524.6,3.99988,-0.02771
-6524.5,1.99539,-0.0139174
-6524.4,4.45933,-0.0312102
-6524.3,1.98063,-0.0139097
-6524.2,8.40077,-0.0591989
-6524.1,-7.99976,0.0565648
-6524,-4.45659,0.0316185
-6523.9,2.01955,-0.0143766
-6523.8,-0.464337,0.00331521
-6523.7,2.00458,-0.0143661
-6523.6,-3.32594e-05,2.5332e-07
-6523.5,1.99523,-0.0143948
-6523.4,-0.480065,0.00347662
-6523.3,1.97996,-0.0143795
-6523.2,-4.48781,0.0327007
-6523.1,-7.99974,0.0584824
-6523,8.54657,-0.0626802
-6522.9,2.02021,-0.0148653
-6522.8,4.48538,-0.0331132
-6522.7,2.00473,-0.0148475
-6522.6,3.99987,-0.0297852
-6522.5,1.99507,-0.0148716
-6522.4,4.45844,-0.0333416
-6522.3,1.9793,-0.0148492
-6522.2,8.39592,-0.0631895
-6522.1,-7.99973,0.0603995
-6522,-4.45553,0.0337467
-6521.9,2.02087,-0.0153546
-6521.8,-0.463814,0.00353646
-6521.7,2.00488,-0.0153296
-6521.6,-3.75509e-05,2.5332e-07
-6521.5,1.99491,-0.0153487
-6521.4,-0.480595,0.00370741
-6521.3,1.97864,-0.0153185
-6521.2,-4.48883,0.0348603
-6521.1,-7.99971,0.0623169
-6521,8.55145,-0.066818
-6520.9,2.02152,-0.0158446
-6520.8,4.48623,-0.03527
-6520.7,2.00503,-0.015811
-6520.6,3.99984,-0.0316162
-6520.5,1.99475,-0.0158257
-6520.4,4.45755,-0.0354717
-6520.3,1.97798,-0.0157875
-6520.2,8.39106,-0.067179
-6520.1,-7.99969,0.0642343
-6520,-4.45446,0.0358742
-6519.9,2.02218,-0.0163345
-6519.8,-0.46329,0.00375438
-6519.7,2.00518,-0.0162933
-6519.6,-4.26769e-05,4.32134e-07
-6519.5,1.99458,-0.0163019
-6519.4,-0.481122,0.00393915
-6519.3,1.97731,-0.0162565
-6519.2,-4.48985,0.0370201
-6519.1,-7.99967,0.0661516
-6519,8.55633,-0.0709581
-6518.9,2.02284,-0.0168246
-6518.8,4.48708,-0.0374277
-6518.7,2.00533,-0.0167751
-6518.6,3.99983,-0.0335693
-6518.5,1.99442,-0.0167789
-6518.4,4.45667,-0.0376012
-6518.3,1.97665,-0.0167243
-6518.2,8.38622,-0.0711563
-6518.1,-7.99965,0.0680692
-6518,-4.4534,0.0380006
-6517.9,2.02349,-0.0173151
-6517.8,-0.462767,0.00397158
