Frequency Samples,Real,Imag
42.1,2.85803,-0.819316
42.2,-0.0350828,0.0099411
42.3,2.66383,-0.745987
42.4,3.44347,-0.952937
42.5,0.00352609,-0.000964403
42.6,2.7868,-0.752833
42.7,4.66322,-1.2444
42.8,-0.614449,0.16195
42.9,3.22576,-0.839636
43,10.0781,-2.59026
43.1,-8.91998,2.26344
43.2,-3.83813,0.961401
43.3,-9.20385,2.27546
43.4,4.78147,-1.16656
43.5,2.06955,-0.498198
43.6,-1.70699,0.405384
43.7,3.17532,-0.743805
43.8,2.52911,-0.584254
43.9,-0.432415,0.0984964
44,2.8266,-0.634734
44.1,2.89976,-0.641824
44.2,-0.0215855,0.00471115
44.3,2.74683,-0.590318
44.4,3.4283,-0.725777
44.5,-0.0408791,0.00852323
44.6,2.80748,-0.576372
44.7,4.54194,-0.917943
44.8,-0.765367,0.152241
44.9,3.11576,-0.609831
45,9.37199,-1.8045
45.1,-9.09652,1.72253
45.2,-3.90846,0.727698
45.3,-9.31264,1.70433
45.4,5.37761,-0.967133
45.5,2.23565,-0.394992
45.6,-1.5971,0.277124
45.7,3.40936,-0.580811
45.8,2.60992,-0.436387
45.9,-0.373181,0.0612206
46,2.95849,-0.476025
46.1,2.92574,-0.461552
46.2,-0.0111465,0.00173187
46.3,2.8155,-0.426471
46.4,3.39378,-0.50342
46.5,-0.0895159,0.0129974
46.6,2.81217,-0.399527
46.7,4.39762,-0.611016
46.8,-0.915824,0.124384
46.9,2.99216,-0.397038
47,8.67176,-1.12362
47.1,-9.23436,1.16772
47.2,-3.95916,0.488316
47.3,-9.37998,1.1277
47.4,5.99838,-0.702491
47.5,2.39923,-0.273523
47.6,-1.47622,0.163709
47.7,3.6346,-0.391785
47.8,2.67839,-0.280404
47.9,-0.313617,0.0318608
48,3.07715,-0.303073
48.1,2.93571,-0.280051
48.2,-0.00405312,0.000366211
48.3,2.86916,-0.255948
48.4,3.34054,-0.28767
48.5,-0.141809,0.0117736
48.6,2.80112,-0.223912
48.7,4.23242,-0.32526
48.8,-1.06396,0.0784824
48.9,2.85684,-0.201922
49,7.98098,-0.539497
49.1,-9.33236,0.602091
49.2,-3.98977,0.245117
49.3,-9.40563,0.548888
49.4,6.64115,-0.367119
49.5,2.55851,-0.133561
49.6,-1.34594,0.0661217
49.7,3.8485,-0.177231
49.8,2.73361,-0.117487
49.9,-0.254632,0.0101609
50,3.18119,-0.11717
50.1,2.92955,-0.0989025
50.2,-0.000427246,0
50.3,2.9073,-0.0802958
50.4,3.26935,-0.0802583
50.5,-0.197094,0.00423336
50.6,2.77475,-0.0510829
50.7,4.04859,-0.0621097
50.8,-1.20793,0.0148244
50.9,2.71166,-0.0249582
51,7.30303,-0.0448124
51.1,-9.38965,0.028808
