Frequency Samples,Real,Imag
-35.1,2.21888e-07,-0.000566151
-35,9.38307e-08,0.0181537
-34.9,1.92318e-07,0.000433321
-34.8,1.26078e-06,-0.000791042
-34.7,4.68339e-07,0.00457306
-34.6,7.567e-08,0.000260238
-34.5,-2.16893e-06,-0.00108769
-34.4,-6.49597e-07,0.00254083
-34.3,3.78001e-07,0.000101936
-34.2,9.36678e-07,-0.00150521
-34.1,-2.05531e-06,0.00169092
-34,1.17649e-06,-5.18395e-05
-33.9,6.91973e-07,-0.00219051
-33.8,-7.96688e-07,0.00120741
-33.7,-3.03844e-07,-0.000207794
-33.6,-1.09198e-07,-0.00363319
-33.5,5.72647e-07,0.00088099
-33.4,-3.5658e-07,-0.000373531
-33.3,7.51112e-07,-0.00918327
-33.2,-5.27943e-07,0.000635918
-33.1,1.25729e-08,-0.000562763
-33,-2.69793e-07,0.0192574
-32.9,-4.08269e-07,0.000436843
-32.8,-1.2127e-06,-0.000795408
-32.7,1.4723e-06,0.00464334
-32.6,-7.91741e-07,0.000263732
-32.5,1.3191e-06,-0.00107905
-32.4,-2.76719e-07,0.00256432
-32.3,-3.97442e-07,0.000105816
-32.2,1.5297e-07,-0.00149479
-32.1,-9.59379e-07,0.00170287
-32,-3.73111e-07,-4.85224e-05
-31.9,1.83354e-07,-0.00217378
-31.8,1.05985e-06,0.00121403
-31.7,-2.08488e-06,-0.000203963
-31.6,-3.0722e-07,-0.00359075
-31.5,-1.96602e-06,0.000884091
-31.4,4.88479e-07,-0.000370056
-31.3,-1.95578e-07,-0.00891911
-31.2,-3.69968e-07,0.000641614
-31.1,7.21775e-09,-0.000558042
-31,5.95232e-07,0.0205003
-30.9,8.16653e-07,0.000441273
-30.8,-4.22471e-07,-0.000781995
-30.7,-2.2474e-07,0.00471323
-30.6,-6.2841e-07,0.000266978
-30.5,4.15603e-08,-0.00107198
-30.4,-5.20842e-07,0.00258815
-30.3,-7.02625e-07,0.000107443
-30.2,-5.64498e-07,-0.00148423
-30.1,-1.60333e-06,0.00171488
-30,1.02283e-06,-4.52593e-05
-29.9,7.83941e-07,-0.00215598
-29.8,4.48083e-07,0.00122386
-29.7,-1.64972e-06,-0.000201543
-29.6,1.268e-06,-0.00354389
-29.5,-1.68057e-06,0.000893037
-29.4,-5.05766e-07,-0.000365458
-29.3,-1.80444e-09,-0.00867609
-29.2,8.55536e-07,0.000644884
-29.1,3.90806e-07,-0.000552227
-29,-3.84694e-07,0.021916
-28.9,1.33202e-06,0.000445497
-28.8,2.59501e-06,-0.00077574
-28.7,1.57161e-07,0.00478968
-28.6,-7.22357e-08,0.000270383
-28.5,1.26578e-06,-0.00106611
-28.4,-1.89582e-06,0.00261309
-28.3,-1.06468e-06,0.000111575
-28.2,7.02916e-07,-0.00147329
-28.1,-9.76026e-07,0.00172735
-28,1.80944e-06,-4.1552e-05
-27.9,-2.0779e-06,-0.00213873
-27.8,8.96398e-08,0.00123014
-27.7,6.00121e-07,-0.000198196
-27.6,-1.50158e-06,-0.00350435
-27.5,-3.49828e-07,0.00089799
-27.4,-2.18482e-06,-0.000363261
-27.3,-2.22819e-07,-0.00844197
